投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
4,スライダー,130km/h,ボール  [ワンバウンド],デラロサ,石川 昂弥,2-4,●●
5,スライダー,127km/h,死球  [すっぽ抜け],デラロサ,石川 昂弥,2-4,●●
1,スライダー,131km/h,ファウル,高梨 雄平,鵜飼 航丞,2-4,●●●
2,スライダー,128km/h,空振り  [投球が打者に当たる],高梨 雄平,鵜飼 航丞,2-4,●●●
3,シュート,144km/h,ボール,高梨 雄平,鵜飼 航丞,2-4,●●●
4,シュート,143km/h,ボール,高梨 雄平,鵜飼 航丞,2-4,●●●
5,スライダー,131km/h,右飛,高梨 雄平,鵜飼 航丞,2-4,●●●
1,ストレート,154km/h,見逃し,ロドリゲス,中田 翔,2-4,●
2,ストレート,155km/h,ボール  [ハーフスイング],ロドリゲス,中田 翔,2-4,●
3,ストレート,153km/h,ボール,ロドリゲス,中田 翔,2-4,●
4,縦スライダー,134km/h,見逃し,ロドリゲス,中田 翔,2-4,●
5,縦スライダー,134km/h,三飛  [バットの先、バット折れる],ロドリゲス,中田 翔,2-4,●
1,ツーシーム,154km/h,ボール,ロドリゲス,丸 佳浩,2-4,●●
2,縦スライダー,135km/h,ボール  [ワンバウンド],ロドリゲス,丸 佳浩,2-4,●●
3,縦スライダー,134km/h,見逃し,ロドリゲス,丸 佳浩,2-4,●●
4,ストレート,155km/h,ファウル,ロドリゲス,丸 佳浩,2-4,●●
5,ストレート,-,空三振  [ハーフスイング],ロドリゲス,丸 佳浩,2-4,●●
1,ツーシーム,152km/h,ボール,ロドリゲス,若林 晃弘,2-4,●●●
2,縦スライダー,132km/h,ボール,ロドリゲス,若林 晃弘,2-4,●●●
3,ストレート,153km/h,ボール,ロドリゲス,若林 晃弘,2-4,●●●
4,ストレート,150km/h,見逃し,ロドリゲス,若林 晃弘,2-4,●●●
5,縦スライダー,132km/h,見逃し,ロドリゲス,若林 晃弘,2-4,●●●
6,縦スライダー,133km/h,ファウル,ロドリゲス,若林 晃弘,2-4,●●●
7,ストレート,154km/h,ファウル,ロドリゲス,若林 晃弘,2-4,●●●
8,縦スライダー,132km/h,ファウル,ロドリゲス,若林 晃弘,2-4,●●●
9,縦スライダー,135km/h,ファウル  [自打球],ロドリゲス,若林 晃弘,2-4,●●●
10,ストレート,154km/h,ファウル,ロドリゲス,若林 晃弘,2-4,●●●
11,ストレート,156km/h,ファウル,ロドリゲス,若林 晃弘,2-4,●●●
12,縦スライダー,133km/h,左飛,ロドリゲス,若林 晃弘,2-4,●●●
1,ストレート,153km/h,ファウル,大勢,平田 良介,2-4,●
2,スライダー,132km/h,見逃し,大勢,平田 良介,2-4,●
3,フォーク,144km/h,ボール  [ワンバウンド],大勢,平田 良介,2-4,●
4,ストレート,154km/h,ボール,大勢,平田 良介,2-4,●
5,ストレート,154km/h,ファウル,大勢,平田 良介,2-4,●
6,ストレート,158km/h,空三振,大勢,平田 良介,2-4,●
1,ストレート,155km/h,見逃し,大勢,大島 洋平,2-4,●
2,ストレート,156km/h,ファウル,大勢,大島 洋平,2-4,●
3,フォーク,144km/h,ボール  [ワンバウンド],大勢,大島 洋平,2-4,●
4,ストレート,157km/h,左安,大勢,大島 洋平,2-4,●
1,ストレート,152km/h,ボール,大勢,岡林 勇希,2-4,●
2,ストレート,154km/h,ファウル,大勢,岡林 勇希,2-4,●
3,ストレート,155km/h,空振り,大勢,岡林 勇希,2-4,●
4,ストレート,155km/h,ファウル,大勢,岡林 勇希,2-4,●
5,ストレート,154km/h,ファウル,大勢,岡林 勇希,2-4,●
6,フォーク,142km/h,ボール  [ワンバウンド],大勢,岡林 勇希,2-4,●
7,ストレート,156km/h,左安,大勢,岡林 勇希,2-4,●
1,ストレート,155km/h,ボール,大勢,溝脇 隼人,2-4,●●
2,ストレート,154km/h,ファウル,大勢,溝脇 隼人,2-4,●●
3,フォーク,140km/h,ボール,大勢,溝脇 隼人,2-4,●●
4,ストレート,154km/h,ボール,大勢,溝脇 隼人,2-4,●●
5,ストレート,153km/h,見逃し,大勢,溝脇 隼人,2-4,●●
6,ストレート,155km/h,二ゴロ  [併殺崩れ],大勢,溝脇 隼人,2-4,●●
1,ストレート,154km/h,死球,大勢,ビシエド,2-4,●●
1,ストレート,155km/h,見逃し,大勢,木下 拓哉,2-4,●●●
2,フォーク,139km/h,ボール,大勢,木下 拓哉,2-4,●●●
3,ストレート,156km/h,投ゴロ  [詰り、ヘッドスライディング],大勢,木下 拓哉,2-4,●●●
