投球数,球種,球速,結果,投手,打者,スコア,投球コース
2,ストレート,136km/h,遊ゴロ  [内野一塁寄り、好ポジショニング],宮城 大弥,柳田 悠岐,3-3,top:68px; left:89px;
1,スライダー,128km/h,ボール,宮城 大弥,デスパイネ,3-3,top:165px; left:124px;
2,チェンジアップ,124km/h,ボール,宮城 大弥,デスパイネ,3-3,top:135px; left:11px;
3,スライダー,124km/h,見逃し,宮城 大弥,デスパイネ,3-3,top:128px; left:65px;
4,カーブ,108km/h,見逃し,宮城 大弥,デスパイネ,3-3,top:95px; left:75px;
5,ストレート,144km/h,ボール,宮城 大弥,デスパイネ,3-3,top:90px; left:118px;
6,チェンジアップ,-,左２  [ライン際],宮城 大弥,デスパイネ,3-3,top:114px; left:44px;
1,ストレート,146km/h,見逃し,宮城 大弥,今宮 健太,3-3,top:56px; left:107px;
2,ストレート,146km/h,見逃し,宮城 大弥,今宮 健太,3-3,top:96px; left:78px;
3,チェンジアップ,122km/h,ボール  [ワンバウンド],宮城 大弥,今宮 健太,3-3,top:170px; left:72px;
4,ストレート,144km/h,ボール,宮城 大弥,今宮 健太,3-3,top:156px; left:39px;
5,ストレート,142km/h,ボール,宮城 大弥,今宮 健太,3-3,top:159px; left:109px;
6,ストレート,144km/h,ファウル,宮城 大弥,今宮 健太,3-3,top:110px; left:63px;
7,ストレート,146km/h,ファウル,宮城 大弥,今宮 健太,3-3,top:127px; left:97px;
8,ストレート,146km/h,左安,宮城 大弥,今宮 健太,3-3,top:85px; left:74px;
1,カーブ,106km/h,見逃し,宮城 大弥,グラシアル,3-3,top:95px; left:72px;
2,チェンジアップ,123km/h,ボール  [ハーフスイング],宮城 大弥,グラシアル,3-3,top:119px; left:18px;
3,ストレート,140km/h,ボール,宮城 大弥,グラシアル,3-3,top:151px; left:107px;
4,カーブ,107km/h,ファウル  [自打球、苦悶の表情],宮城 大弥,グラシアル,3-3,top:84px; left:84px;
5,スライダー,-,投ゴロ  [投手のグラブを弾く、観客どよめく],宮城 大弥,グラシアル,3-3,top:111px; left:64px;
