投球数,球種,球速,結果,投手,打者,スコア,投球コース
3,ストレート,141km/h,ボール,三浦 銀二,西川 龍馬,9-3,top:152px; left:93px;
4,ストレート,141km/h,見逃し,三浦 銀二,西川 龍馬,9-3,top:104px; left:100px;
5,ストレート,141km/h,四球,三浦 銀二,西川 龍馬,9-3,top:22px; left:68px;
1,ストレート,141km/h,ボール,三浦 銀二,菊池 涼介,11-3,top:157px; left:19px;
2,ストレート,141km/h,左２  [強襲],三浦 銀二,菊池 涼介,11-3,top:131px; left:64px;
1,チェンジアップ,125km/h,右飛  [スライディングキャッチ、走者動けず],三浦 銀二,小園 海斗,11-3,top:56px; left:85px;
1,カーブ,118km/h,見逃し,三浦 銀二,田中 広輔,11-3,top:131px; left:35px;
2,ストレート,141km/h,ボール,三浦 銀二,田中 広輔,11-3,top:84px; left:18px;
3,ストレート,143km/h,右飛,三浦 銀二,田中 広輔,11-3,top:53px; left:44px;
1,ストレート,146km/h,二ゴロ  [リプレー検証後判定変わらず],中﨑 翔太,倉本 寿彦,11-3,top:84px; left:109px;
1,ストレート,145km/h,見逃し,中﨑 翔太,柴田 竜拓,11-3,top:96px; left:49px;
2,チェンジアップ,135km/h,遊ゴロ,中﨑 翔太,柴田 竜拓,11-3,top:90px; left:103px;
1,スライダー,133km/h,投飛,中﨑 翔太,大田 泰示,11-3,top:55px; left:76px;
