投球数,球種,球速,結果,投手,打者,スコア,投球コース
8,フォーク,138km/h,空三振,則本 昂大,レアード,0-0,top:163px; left:67px;
1,ツーシーム,136km/h,ボール,石川 歩,山﨑 剛,0-0,top:24px; left:128px;
2,ストレート,136km/h,見逃し  [セーフティバント、バント構え],石川 歩,山﨑 剛,0-0,top:84px; left:73px;
3,シンカー,127km/h,空振り,石川 歩,山﨑 剛,0-0,top:155px; left:100px;
4,シンカー,130km/h,遊ゴロ,石川 歩,山﨑 剛,0-0,top:116px; left:72px;
1,ストレート,140km/h,ファウル,石川 歩,浅村 栄斗,0-0,top:92px; left:44px;
2,カットボール,130km/h,二ゴロ  [バットの先],石川 歩,浅村 栄斗,0-0,top:102px; left:33px;
1,カーブ,107km/h,見逃し,石川 歩,島内 宏明,0-0,top:100px; left:100px;
2,カーブ,108km/h,ボール  [ワンバウンド],石川 歩,島内 宏明,0-0,top:168px; left:68px;
3,ストレート,139km/h,見逃し,石川 歩,島内 宏明,0-0,top:45px; left:34px;
4,ツーシーム,142km/h,ファウル,石川 歩,島内 宏明,0-0,top:85px; left:121px;
5,シンカー,132km/h,二ゴロ  [泳ぎ],石川 歩,島内 宏明,0-0,top:134px; left:100px;
1,チェンジアップ,126km/h,ボール,則本 昂大,佐藤 都志也,0-0,top:34px; left:124px;
2,カットボール,138km/h,ファウル,則本 昂大,佐藤 都志也,0-0,top:87px; left:44px;
3,ストレート,145km/h,ファウル,則本 昂大,佐藤 都志也,0-0,top:36px; left:59px;
4,ストレート,143km/h,ボール,則本 昂大,佐藤 都志也,0-0,top:95px; left:16px;
5,ストレート,146km/h,ボール,則本 昂大,佐藤 都志也,0-0,top:134px; left:124px;
6,ストレート,145km/h,三邪飛,則本 昂大,佐藤 都志也,0-0,top:90px; left:67px;
1,チェンジアップ,129km/h,空振り,則本 昂大,岡 大海,0-0,top:133px; left:60px;
2,ストレート,146km/h,ボール,則本 昂大,岡 大海,0-0,top:20px; left:72px;
3,スライダー,132km/h,見逃し,則本 昂大,岡 大海,0-0,top:138px; left:44px;
4,ストレート,148km/h,ボール,則本 昂大,岡 大海,0-0,top:124px; left:14px;
5,ストレート,147km/h,ボール,則本 昂大,岡 大海,0-0,top:156px; left:72px;
6,フォーク,141km/h,遊ゴロ,則本 昂大,岡 大海,0-0,top:102px; left:65px;
1,ストレート,142km/h,見逃し,則本 昂大,藤岡 裕大,0-0,top:99px; left:32px;
2,ストレート,148km/h,ボール,則本 昂大,藤岡 裕大,0-0,top:165px; left:25px;
3,ストレート,146km/h,ファウル,則本 昂大,藤岡 裕大,0-0,top:95px; left:109px;
4,ストレート,149km/h,ファウル,則本 昂大,藤岡 裕大,0-0,top:76px; left:56px;
5,フォーク,140km/h,ボール  [ワンバウンド],則本 昂大,藤岡 裕大,0-0,top:175px; left:69px;
6,ストレート,145km/h,二ゴロ,則本 昂大,藤岡 裕大,0-0,top:107px; left:47px;
1,ストレート,139km/h,ファウル,石川 歩,茂木 栄五郎,0-0,top:40px; left:68px;
2,シンカー,130km/h,空振り,石川 歩,茂木 栄五郎,0-0,top:90px; left:70px;
3,ストレート,140km/h,ボール,石川 歩,茂木 栄五郎,0-0,top:154px; left:20px;
4,シンカー,127km/h,ボール  [ワンバウンド],石川 歩,茂木 栄五郎,0-0,top:172px; left:69px;
5,シンカー,131km/h,空三振,石川 歩,茂木 栄五郎,0-0,top:153px; left:73px;
1,シンカー,127km/h,ファウル,石川 歩,和田 恋,0-0,top:60px; left:40px;
2,カットボール,128km/h,ボール,石川 歩,和田 恋,0-0,top:89px; left:17px;
3,シンカー,127km/h,ファウル,石川 歩,和田 恋,0-0,top:36px; left:64px;
4,シンカー,129km/h,ボール,石川 歩,和田 恋,0-0,top:150px; left:16px;
5,カットボール,131km/h,ファウル,石川 歩,和田 恋,0-0,top:151px; left:63px;
6,ストレート,142km/h,二ゴロ  [詰り],石川 歩,和田 恋,0-0,top:53px; left:104px;
1,ツーシーム,139km/h,左飛,石川 歩,鈴木 大地,0-0,top:132px; left:105px;
1,カットボール,136km/h,見逃し,則本 昂大,松川 虎生,0-0,top:131px; left:42px;
2,ストレート,144km/h,ボール,則本 昂大,松川 虎生,0-0,top:119px; left:13px;
3,スライダー,132km/h,ファウル,則本 昂大,松川 虎生,0-0,top:105px; left:44px;
4,フォーク,135km/h,ボール  [ワンバウンド],則本 昂大,松川 虎生,0-0,top:170px; left:65px;
5,スライダー,133km/h,二ゴロ  [バットの先],則本 昂大,松川 虎生,0-0,top:128px; left:29px;
1,カットボール,137km/h,見逃し  [セーフティバント、バント構え],則本 昂大,平沢 大河,0-0,top:92px; left:68px;
2,カットボール,139km/h,ボール,則本 昂大,平沢 大河,0-0,top:14px; left:75px;
3,カットボール,142km/h,ボール,則本 昂大,平沢 大河,0-0,top:24px; left:72px;
4,ストレート,145km/h,見逃し,則本 昂大,平沢 大河,0-0,top:139px; left:44px;
5,ストレート,145km/h,ボール,則本 昂大,平沢 大河,0-0,top:24px; left:32px;
6,ストレート,145km/h,四球,則本 昂大,平沢 大河,0-0,top:90px; left:15px;
1,カットボール,137km/h,三安  [セーフティバント、バントヒット、送球できず],則本 昂大,髙部 瑛斗,0-0,top:44px; left:64px;
1,チェンジアップ,132km/h,ボール,則本 昂大,マーティン,0-0,top:46px; left:124px;
2,チェンジアップ,136km/h,空振り,則本 昂大,マーティン,0-0,top:93px; left:122px;
3,ストレート,144km/h,ボール,則本 昂大,マーティン,0-0,top:20px; left:32px;
4,ストレート,-,死球,則本 昂大,マーティン,0-0,top:44px; left:-3px;
1,チェンジアップ,132km/h,空振り,則本 昂大,中村 奨吾,2-0,top:154px; left:72px;
2,ストレート,140km/h,見逃し,則本 昂大,中村 奨吾,2-0,top:132px; left:37px;
3,カットボール,138km/h,ボール,則本 昂大,中村 奨吾,2-0,top:140px; left:12px;
4,カットボール,137km/h,左安,則本 昂大,中村 奨吾,2-0,top:133px; left:68px;
1,フォーク,138km/h,ボール  [ワンバウンド、捕手後逸阻止],則本 昂大,レアード,3-0,top:167px; left:33px;
2,ストレート,148km/h,ボール,則本 昂大,レアード,3-0,top:136px; left:11px;
3,スライダー,131km/h,左安  [バットの先],則本 昂大,レアード,3-0,top:84px; left:72px;
1,ストレート,140km/h,死球,弓削 隼人,佐藤 都志也,3-0,top:19px; left:-1px;
1,スライダー,121km/h,見逃し,弓削 隼人,岡 大海,3-0,top:114px; left:65px;
2,ストレート,134km/h,ファウル,弓削 隼人,岡 大海,3-0,top:104px; left:72px;
3,フォーク,126km/h,二直,弓削 隼人,岡 大海,3-0,top:133px; left:32px;
1,シンカー,125km/h,空振り,石川 歩,安田 悠馬,3-0,top:133px; left:65px;
2,シンカー,126km/h,ボール,石川 歩,安田 悠馬,3-0,top:155px; left:67px;
3,ツーシーム,139km/h,ファウル,石川 歩,安田 悠馬,3-0,top:55px; left:107px;
4,シンカー,127km/h,空三振,石川 歩,安田 悠馬,3-0,top:153px; left:119px;
1,シンカー,123km/h,ボール,石川 歩,小深田 大翔,3-0,top:120px; left:0px;
2,ツーシーム,139km/h,見逃し,石川 歩,小深田 大翔,3-0,top:54px; left:108px;
3,カーブ,106km/h,ボール,石川 歩,小深田 大翔,3-0,top:154px; left:37px;
4,ツーシーム,136km/h,ファウル,石川 歩,小深田 大翔,3-0,top:61px; left:72px;
5,ストレート,138km/h,ボール,石川 歩,小深田 大翔,3-0,top:152px; left:16px;
6,ツーシーム,139km/h,中安,石川 歩,小深田 大翔,3-0,top:91px; left:69px;
1,シンカー,125km/h,右飛,石川 歩,西川 遥輝,3-0,top:49px; left:73px;
1,ストレート,140km/h,見逃し,石川 歩,山﨑 剛,3-0,top:138px; left:69px;
2,ストレート,140km/h,ボール,石川 歩,山﨑 剛,3-0,top:39px; left:129px;
3,ツーシーム,139km/h,ボール,石川 歩,山﨑 剛,3-0,top:96px; left:120px;
4,シンカー,124km/h,空振り,石川 歩,山﨑 剛,3-0,top:150px; left:69px;
5,シンカー,126km/h,右飛,石川 歩,山﨑 剛,3-0,top:138px; left:78px;
1,ストレート,146km/h,ボール,西垣 雅矢,藤岡 裕大,3-0,top:20px; left:33px;
2,ストレート,148km/h,空振り,西垣 雅矢,藤岡 裕大,3-0,top:79px; left:102px;
3,ストレート,148km/h,ファウル,西垣 雅矢,藤岡 裕大,3-0,top:60px; left:57px;
4,フォーク,134km/h,ボール  [ワンバウンド],西垣 雅矢,藤岡 裕大,3-0,top:168px; left:36px;
5,フォーク,134km/h,右安,西垣 雅矢,藤岡 裕大,3-0,top:126px; left:74px;
1,ストレート,145km/h,一犠打,西垣 雅矢,松川 虎生,3-0,top:35px; left:93px;
1,ストレート,146km/h,見逃し,西垣 雅矢,平沢 大河,3-0,top:85px; left:89px;
2,ストレート,147km/h,二飛,西垣 雅矢,平沢 大河,3-0,top:80px; left:40px;
1,フォーク,134km/h,ボール  [ワンバウンド、捕手後逸阻止],西垣 雅矢,髙部 瑛斗,3-0,top:172px; left:87px;
2,ストレート,149km/h,三ゴロ,西垣 雅矢,髙部 瑛斗,3-0,top:55px; left:102px;
1,ツーシーム,139km/h,見逃し,石川 歩,浅村 栄斗,3-0,top:96px; left:103px;
2,シンカー,127km/h,ファウル,石川 歩,浅村 栄斗,3-0,top:61px; left:42px;
3,ストレート,140km/h,ボール,石川 歩,浅村 栄斗,3-0,top:85px; left:16px;
4,カットボール,130km/h,ファウル,石川 歩,浅村 栄斗,3-0,top:90px; left:50px;
5,ストレート,141km/h,ボール,石川 歩,浅村 栄斗,3-0,top:47px; left:127px;
6,シンカー,126km/h,中飛,石川 歩,浅村 栄斗,3-0,top:151px; left:24px;
1,シンカー,126km/h,見逃し,石川 歩,島内 宏明,3-0,top:99px; left:69px;
2,カーブ,103km/h,ボール,石川 歩,島内 宏明,3-0,top:12px; left:132px;
3,ツーシーム,139km/h,三失,石川 歩,島内 宏明,3-0,top:46px; left:105px;
1,ツーシーム,139km/h,ファウル,石川 歩,茂木 栄五郎,3-0,top:134px; left:84px;
2,シンカー,125km/h,ファウル,石川 歩,茂木 栄五郎,3-0,top:141px; left:69px;
3,シンカー,126km/h,左安  [ライン際],石川 歩,茂木 栄五郎,3-0,top:66px; left:95px;
1,カットボール,129km/h,中飛  [スライディングキャッチ、好プレイ、走者動けず],石川 歩,和田 恋,3-0,top:108px; left:40px;
1,ストレート,141km/h,見逃し,石川 歩,鈴木 大地,3-0,top:95px; left:29px;
2,シンカー,126km/h,ボール,石川 歩,鈴木 大地,3-0,top:163px; left:48px;
3,ストレート,139km/h,見逃し,石川 歩,鈴木 大地,3-0,top:56px; left:29px;
4,ストレート,140km/h,左飛,石川 歩,鈴木 大地,3-0,top:104px; left:75px;
1,フォーク,141km/h,ボール  [ワンバウンド],藤平 尚真,マーティン,3-0,top:169px; left:48px;
2,ストレート,149km/h,ボール,藤平 尚真,マーティン,3-0,top:164px; left:68px;
3,ストレート,149km/h,ボール,藤平 尚真,マーティン,3-0,top:156px; left:4px;
4,フォーク,142km/h,四球,藤平 尚真,マーティン,3-0,top:166px; left:75px;
1,ストレート,146km/h,ボール  [セーフティバント、バント構え、送球できず],藤平 尚真,中村 奨吾,3-0,top:25px; left:84px;
1,ストレート,146km/h,ボール  [セーフティバント、バント構え、送球できず],藤平 尚真,中村 奨吾,3-0,top:25px; left:84px;
2,ストレート,147km/h,見逃し,藤平 尚真,中村 奨吾,3-0,top:134px; left:76px;
3,フォーク,133km/h,ファウル,藤平 尚真,中村 奨吾,3-0,top:115px; left:80px;
4,ストレート,148km/h,ボール,藤平 尚真,中村 奨吾,3-0,top:20px; left:16px;
5,ストレート,149km/h,見三振,藤平 尚真,中村 奨吾,3-0,top:134px; left:40px;
1,フォーク,141km/h,ボール,藤平 尚真,レアード,3-0,top:165px; left:108px;
2,スライダー,127km/h,ボール  [すっぽ抜け],藤平 尚真,レアード,3-0,top:0px; left:112px;
1,フォーク,141km/h,ボール,藤平 尚真,レアード,4-0,top:165px; left:108px;
2,スライダー,127km/h,ボール  [すっぽ抜け],藤平 尚真,レアード,4-0,top:0px; left:112px;
3,フォーク,141km/h,ボール,藤平 尚真,レアード,4-0,top:66px; left:135px;
4,ストレート,147km/h,見逃し,藤平 尚真,レアード,4-0,top:79px; left:72px;
5,ストレート,147km/h,右２,藤平 尚真,レアード,4-0,top:44px; left:47px;
1,フォーク,141km/h,ボール,藤平 尚真,佐藤 都志也,4-0,top:42px; left:128px;
2,ストレート,148km/h,見逃し,藤平 尚真,佐藤 都志也,4-0,top:87px; left:107px;
3,フォーク,138km/h,ボール,藤平 尚真,佐藤 都志也,4-0,top:22px; left:128px;
4,フォーク,136km/h,ボール,藤平 尚真,佐藤 都志也,4-0,top:91px; left:138px;
5,フォーク,139km/h,四球,藤平 尚真,佐藤 都志也,4-0,top:151px; left:128px;
1,ストレート,148km/h,空振り,藤平 尚真,岡 大海,4-0,top:134px; left:67px;
2,ストレート,147km/h,ボール  [ハーフスイング],藤平 尚真,岡 大海,4-0,top:20px; left:99px;
3,ストレート,146km/h,見逃し,藤平 尚真,岡 大海,4-0,top:44px; left:80px;
4,ストレート,147km/h,見三振  [全く反応できず],藤平 尚真,岡 大海,4-0,top:132px; left:39px;
1,ストレート,147km/h,ボール,藤平 尚真,藤岡 裕大,4-0,top:22px; left:125px;
2,フォーク,142km/h,ファウル,藤平 尚真,藤岡 裕大,4-0,top:118px; left:84px;
3,ストレート,149km/h,空振り,藤平 尚真,藤岡 裕大,4-0,top:130px; left:73px;
4,ストレート,146km/h,ボール,藤平 尚真,藤岡 裕大,4-0,top:164px; left:16px;
5,ストレート,148km/h,ファウル,藤平 尚真,藤岡 裕大,4-0,top:36px; left:95px;
6,ストレート,149km/h,ファウル,藤平 尚真,藤岡 裕大,4-0,top:140px; left:28px;
7,フォーク,142km/h,ファウル,藤平 尚真,藤岡 裕大,4-0,top:156px; left:67px;
8,ストレート,148km/h,ファウル,藤平 尚真,藤岡 裕大,4-0,top:55px; left:80px;
9,スライダー,132km/h,ボール,藤平 尚真,藤岡 裕大,4-0,top:31px; left:8px;
10,ストレート,145km/h,三ゴロ,藤平 尚真,藤岡 裕大,4-0,top:33px; left:89px;
1,ストレート,156km/h,ボール  [ワンバウンド],ゲレーロ,安田 悠馬,4-0,top:168px; left:72px;
2,ストレート,155km/h,空振り,ゲレーロ,安田 悠馬,4-0,top:75px; left:64px;
3,ストレート,155km/h,二ゴロ,ゲレーロ,安田 悠馬,4-0,top:125px; left:70px;
1,ストレート,159km/h,見逃し,ゲレーロ,小深田 大翔,4-0,top:84px; left:99px;
2,ストレート,152km/h,ボール,ゲレーロ,小深田 大翔,4-0,top:156px; left:18px;
3,ストレート,156km/h,ファウル,ゲレーロ,小深田 大翔,4-0,top:86px; left:73px;
4,ストレート,161km/h,ファウル,ゲレーロ,小深田 大翔,4-0,top:56px; left:58px;
5,チェンジアップ,139km/h,見三振,ゲレーロ,小深田 大翔,4-0,top:116px; left:98px;
1,ストレート,160km/h,ボール,ゲレーロ,西川 遥輝,4-0,top:13px; left:108px;
2,ストレート,152km/h,ボール,ゲレーロ,西川 遥輝,4-0,top:160px; left:54px;
3,ストレート,156km/h,見逃し,ゲレーロ,西川 遥輝,4-0,top:98px; left:77px;
